id,rain,visibility,main,sys,weather,cod,wind,base,clouds,coord,name,dt,snow
3421765,,,"{'temp': 0.73, 'pressure': 998.61, 'humidity': 100, 'temp_min': 0.73, 'temp_max': 0.73, 'sea_level': 998.61, 'grnd_level': 986.55}","{'message': 0.003, 'country': 'GL', 'sunrise': 1551175623, 'sunset': 1551212495}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",200,"{'speed': 2.14, 'deg': 56.5029}",stations,{'all': 0},"{'lon': -45.24, 'lat': 60.14}",Nanortalik,1551199934,
2094342,,,"{'temp': 27.25, 'pressure': 1008.41, 'humidity': 100, 'temp_min': 27.25, 'temp_max': 27.25, 'sea_level': 1008.41, 'grnd_level': 1007.27}","{'message': 0.0046, 'country': 'PG', 'sunrise': 1551125086, 'sunset': 1551168872}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",200,"{'speed': 3.86, 'deg': 300.003}",stations,{'all': 64},"{'lon': 150.8, 'lat': -2.57}",Kavieng,1551199935,
2163355,,10000,"{'temp': 7.91, 'pressure': 1026, 'humidity': 81, 'temp_min': 6.67, 'temp_max': 9}","{'type': 1, 'id': 9545, 'message': 0.0062, 'country': 'AU', 'sunrise': 1551123973, 'sunset': 1551171605}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",200,"{'speed': 3.6, 'deg': 270}",stations,{'all': 0},"{'lon': 147.33, 'lat': -42.88}",Hobart,1551199876,
692856,,,"{'temp': 3.78, 'pressure': 1021.25, 'humidity': 76, 'temp_min': 3.78, 'temp_max': 3.78, 'sea_level': 1021.25, 'grnd_level': 1000.87}","{'message': 0.0036, 'country': 'UA', 'sunrise': 1551157975, 'sunset': 1551196654}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",200,"{'speed': 7.29, 'deg': 357.503}",stations,{'all': 88},"{'lon': 24.5, 'lat': 51.44}",Cheremshanka,1551199935,
2122090,,,"{'temp': -18.8, 'pressure': 998.09, 'humidity': 69, 'temp_min': -18.8, 'temp_max': -18.8, 'sea_level': 998.09, 'grnd_level': 990.39}","{'message': 0.0035, 'country': 'RU', 'sunrise': 1551125943, 'sunset': 1551158774}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",200,"{'speed': 0.71, 'deg': 352.003}",stations,{'all': 64},"{'lon': 170.27, 'lat': 69.7}",Pevek,1551199935,
4020109,,,"{'temp': 26.63, 'pressure': 1014.25, 'humidity': 100, 'temp_min': 26.63, 'temp_max': 26.63, 'sea_level': 1014.25, 'grnd_level': 1014.15}","{'message': 0.0034, 'country': 'PF', 'sunrise': 1551194377, 'sunset': 1551238676}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02d'}]",200,"{'speed': 2.86, 'deg': 112.503}",stations,{'all': 8},"{'lon': -139.03, 'lat': -9.8}",Atuona,1551199936,
3439525,,,"{'temp': 23.33, 'pressure': 1012, 'humidity': 29, 'temp_min': 23.33, 'temp_max': 23.33}","{'type': 3, 'id': 2008980, 'message': 0.0032, 'country': 'UY', 'sunrise': 1551173838, 'sunset': 1551220124}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",200,"{'speed': 2.68, 'deg': 225, 'gust': 5.81}",stations,{'all': 0},"{'lon': -57.63, 'lat': -32.7}",Young,1551199764,
3831208,,,"{'temp': -22.42, 'pressure': 1014.49, 'humidity': 77, 'temp_min': -22.42, 'temp_max': -22.42, 'sea_level': 1014.49, 'grnd_level': 980.15}","{'message': 0.0036, 'country': 'GL', 'sunrise': 1551187067, 'sunset': 1551212711}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",200,"{'speed': 1.81, 'deg': 176.503}",stations,{'all': 48},"{'lon': -69.36, 'lat': 77.48}",Qaanaaq,1551199936,
2729907,,10000,"{'temp': -15, 'pressure': 1007, 'humidity': 60, 'temp_min': -15, 'temp_max': -15}","{'type': 1, 'id': 1663, 'message': 0.0061, 'country': 'NO', 'sunrise': 1551167487, 'sunset': 1551191507}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",200,"{'speed': 5.1, 'deg': 130}",stations,{'all': 75},"{'lon': 15.63, 'lat': 78.22}",Longyearbyen,1551198000,
1651810,,,"{'temp': 20.53, 'pressure': 1008.69, 'humidity': 91, 'temp_min': 20.53, 'temp_max': 20.53, 'sea_level': 1008.69, 'grnd_level': 933.27}","{'message': 0.0033, 'country': 'TL', 'sunrise': 1551130941, 'sunset': 1551175198}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",200,"{'speed': 0.79, 'deg': 29.5029}",stations,{'all': 20},"{'lon': 125.41, 'lat': -8.93}",Airai,1551199937,
3443061,,,"{'temp': 21, 'pressure': 1014.45, 'humidity': 72, 'temp_min': 21, 'temp_max': 21, 'sea_level': 1014.45, 'grnd_level': 1012.87}","{'message': 0.0032, 'country': 'UY', 'sunrise': 1551172783, 'sunset': 1551219177}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",200,"{'speed': 7.64, 'deg': 230.003}",stations,{'all': 48},"{'lon': -53.46, 'lat': -33.69}",Chuy,1551199937,
3892454,,,"{'temp': 23.63, 'pressure': 1012.25, 'humidity': 58, 'temp_min': 23.63, 'temp_max': 23.63, 'sea_level': 1012.25, 'grnd_level': 905.99}","{'message': 0.0034, 'country': 'CL', 'sunrise': 1551177136, 'sunset': 1551222795}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",200,"{'speed': 1.66, 'deg': 261.503}",stations,{'all': 0},"{'lon': -70.05, 'lat': -26.39}",Diego de Almagro,1551199937,
3833367,,10000,"{'temp': 6.44, 'pressure': 1010, 'humidity': 87, 'temp_min': 6, 'temp_max': 7}","{'type': 1, 'id': 8303, 'message': 0.0046, 'country': 'AR', 'sunrise': 1551174670, 'sunset': 1551224373}","[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}, {'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",200,"{'speed': 15.4, 'deg': 230}",stations,{'all': 75},"{'lon': -68.31, 'lat': -54.81}",Ushuaia,1551196800,
1006984,,10000,"{'temp': 22, 'pressure': 1009, 'humidity': 68, 'temp_min': 22, 'temp_max': 22}","{'type': 1, 'id': 1912, 'message': 0.0044, 'country': 'ZA', 'sunrise': 1551153279, 'sunset': 1551199629}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",200,"{'speed': 9.8, 'deg': 230}",stations,{'all': 0},"{'lon': 27.91, 'lat': -33.02}",East London,1551196800,
1797595,,,"{'temp': -2.82, 'pressure': 1026.01, 'humidity': 57, 'temp_min': -2.82, 'temp_max': -2.82, 'sea_level': 1026.01, 'grnd_level': 988.55}","{'message': 0.0031, 'country': 'CN', 'sunrise': 1551134366, 'sunset': 1551174609}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",200,"{'speed': 1.11, 'deg': 102.503}",stations,{'all': 88},"{'lon': 119.59, 'lat': 39.94}",Qinhuangdao,1551199938,
3874787,,10000,"{'temp': 12.59, 'pressure': 1012, 'humidity': 41, 'temp_min': 10, 'temp_max': 14}","{'type': 1, 'id': 8487, 'message': 0.0033, 'country': 'CL', 'sunrise': 1551175484, 'sunset': 1551224811}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",200,"{'speed': 8.2, 'deg': 250}",stations,{'all': 20},"{'lon': -70.91, 'lat': -53.16}",Punta Arenas,1551199396,
2399001,,,"{'temp': 27.75, 'pressure': 1008.37, 'humidity': 92, 'temp_min': 27.75, 'temp_max': 27.75, 'sea_level': 1008.37, 'grnd_level': 997.75}","{'message': 0.0033, 'country': 'GA', 'sunrise': 1551158688, 'sunset': 1551202533}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",200,"{'speed': 3.16, 'deg': 268.503}",stations,{'all': 20},"{'lon': 10.65, 'lat': -3.44}",Mayumba,1551199938,
2110227,,,"{'temp': 28.83, 'pressure': 1007.97, 'humidity': 100, 'temp_min': 28.83, 'temp_max': 28.83, 'sea_level': 1007.97, 'grnd_level': 1007.91}","{'message': 0.0036, 'country': 'KI', 'sunrise': 1551120016, 'sunset': 1551163392}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",200,"{'speed': 8.06, 'deg': 60.0029}",stations,{'all': 44},"{'lon': 172.79, 'lat': 3.07}",Butaritari,1551199939,
3896218,,10000,"{'temp': 17, 'pressure': 1022, 'humidity': 59, 'temp_min': 17, 'temp_max': 17}","{'type': 1, 'id': 8512, 'message': 0.0037, 'country': 'CL', 'sunrise': 1551177110, 'sunset': 1551224578}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",200,"{'speed': 8.2, 'deg': 190}",stations,{'all': 20},"{'lon': -73.76, 'lat': -42.48}",Castro,1551196800,
3424607,,1500,"{'temp': -2, 'pressure': 999, 'humidity': 92, 'temp_min': -2, 'temp_max': -2}","{'type': 1, 'id': 81, 'message': 0.006, 'country': 'GL', 'sunrise': 1551174701, 'sunset': 1551209785}","[{'id': 601, 'main': 'Snow', 'description': 'snow', 'icon': '13d'}]",200,"{'speed': 7.09, 'deg': 28.0029}",stations,{'all': 90},"{'lon': -37.64, 'lat': 65.61}",Tasiilaq,1551196200,
5861897,,14484,"{'temp': -22.27, 'pressure': 1030, 'humidity': 76, 'temp_min': -23, 'temp_max': -21.11}","{'type': 1, 'id': 7684, 'message': 0.0043, 'country': 'US', 'sunrise': 1551200906, 'sunset': 1551236410}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",200,"{'speed': 1.34, 'deg': 91.5029}",stations,{'all': 1},"{'lon': -147.72, 'lat': 64.84}",Fairbanks,1551199842,
2038067,,,"{'temp': -5.9, 'pressure': 1025.01, 'humidity': 79, 'temp_min': -5.9, 'temp_max': -5.9, 'sea_level': 1025.01, 'grnd_level': 921.51}","{'message': 0.004, 'country': 'CN', 'sunrise': 1551134659, 'sunset': 1551174622}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",200,"{'speed': 2.49, 'deg': 218.003}",stations,{'all': 76},"{'lon': 118.96, 'lat': 42.27}",Chifeng,1551199940,
2063036,,,"{'temp': 18.96, 'pressure': 1018.01, 'humidity': 97, 'temp_min': 18.96, 'temp_max': 18.96, 'sea_level': 1018.01, 'grnd_level': 1014.39}","{'message': 0.0039, 'country': 'AU', 'sunrise': 1551127260, 'sunset': 1551173836}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",200,"{'speed': 4.31, 'deg': 121.003}",stations,{'all': 0},"{'lon': 135.86, 'lat': -34.72}",Port Lincoln,1551199940,
